卷耳,看过,推荐,4,5298,2017-10-25 18:11:30," 第一部：《爸爸，再爱我一次》
第二部：《哥哥，再爱我一次》
第三部：《姐姐，再爱我一次》
ps:托尔终于从锤神变成了雷神
        "
艺仔小太妹,看过,推荐,4,3393,2017-10-25 19:14:16," 这是一个关于锤子之神如何变成皮卡丘的欢乐喜剧片。对了，谁能告诉我怎么才能睡到凯特·布兰切特？
        "
Ada Wang,看过,还行,3,1754,2017-10-26 14:27:19," 建议导演改一下名字，这不叫诸神黄昏，而叫诸神狂欢之大姐家暴！或者阿斯加德版裤裆藏雷之再爽一次？剧情？不存在的！其实Marvel漫画黑暗真的不输DC好嘛！Disney再好悲剧题材都会分分钟拍成喜剧，就问怕不怕？不是反感搞笑，这年头拍出一部正正经经讲故事不插科打诨的商业片这么难么？
        "
陀螺凡达可,看过,还行,3,1486,2017-10-26 06:51:40," 一星给颜值达到巅峰的短发锤，几乎当场让我有了生理反应；一星给抢足戏的布兰切特；一星给几段复古味十足非常带劲的电子配乐。其余一切都是漫威式蠢萌，套路化的段子堆积娱乐性十足，走出电影院后就差不多都忘了。
        "
桃桃淘电影,看过,还行,3,1121,2017-11-03 16:08:38," 已经这么努力搞笑了，如果说不好笑，实在有些虚伪。不过，这部也只剩通篇努力的好笑了。漫威套路化娱乐产出实在是太伤人了，讲讲段子，卖卖腐，胡打一通之后，也就不剩什么了，啊，还有必不可少的如鸡肋一般的彩蛋。角色已经越来越看不太懂了。洛基本部彻底沦为谐星。当然，女王还是帅的。
        "
大唐咕噜,看过,推荐,4,1368,2017-10-12 13:07:57," 我是雷神托尔，为了北方神的荣耀。。。。。
        "
同志亦凡人中文站,看过,推荐,4,1254,2017-10-25 17:42:57," 哥特风的大魔王酷毙了，而没了锤子的锤哥简直性感到核爆炸啊！啥也别说，正面压我！怀蒂蒂把个人逗逼风格成功融入漫威大法，恭喜好莱坞又招安一位类型片怪杰。马特呆蒙的客串太好笑了，足够我笑到圣诞啊哈哈哈...
                
                
"
yuehuanyu,看过,很差,1,796,2017-10-26 13:36:09," 我就不懂，本来主线剧情那么惨，为什么锤基还以搞笑的态度演绎这一切？这部电影的叙述方式和剧情本身产生了严重的风格分裂，居然那么多好评？？！！
        "
ATLAS77,看过,较差,2,510,2017-10-11 22:49:48," 我想知道诸神黄昏的原作粉看完这部是什么心情，诸神夕阳红吧？
                
                
"
咸鱼Diane,看过,还行,3,676,2017-10-26 00:29:07," “漫威最佳”就是个笑话，谁信谁傻。总体还是漫威的老套路，作为雷神系列的进步就体现在视觉效果上，完全星际特工+星际迷航+星球大战的结合体。加上继承了银护系列走逗比路线，全员尬梗。无功无过，切糕完全当作舞台剧来演了吧，心疼我老阿姨，一把为了赚奶粉钱还要演打戏惹。
        "
