卷耳,看过,推荐,4,5305,2017-10-25 18:11:30," 第一部：《爸爸，再爱我一次》
第二部：《哥哥，再爱我一次》
第三部：《姐姐，再爱我一次》
ps:托尔终于从锤神变成了雷神
        "
艺仔小太妹,看过,推荐,4,3400,2017-10-25 19:14:16," 这是一个关于锤子之神如何变成皮卡丘的欢乐喜剧片。对了，谁能告诉我怎么才能睡到凯特·布兰切特？
        "
Ada Wang,看过,还行,3,1759,2017-10-26 14:27:19," 建议导演改一下名字，这不叫诸神黄昏，而叫诸神狂欢之大姐家暴！或者阿斯加德版裤裆藏雷之再爽一次？剧情？不存在的！其实Marvel漫画黑暗真的不输DC好嘛！Disney再好悲剧题材都会分分钟拍成喜剧，就问怕不怕？不是反感搞笑，这年头拍出一部正正经经讲故事不插科打诨的商业片这么难么？
        "
陀螺凡达可,看过,还行,3,1488,2017-10-26 06:51:40," 一星给颜值达到巅峰的短发锤，几乎当场让我有了生理反应；一星给抢足戏的布兰切特；一星给几段复古味十足非常带劲的电子配乐。其余一切都是漫威式蠢萌，套路化的段子堆积娱乐性十足，走出电影院后就差不多都忘了。
        "
桃桃淘电影,看过,还行,3,1124,2017-11-03 16:08:38," 已经这么努力搞笑了，如果说不好笑，实在有些虚伪。不过，这部也只剩通篇努力的好笑了。漫威套路化娱乐产出实在是太伤人了，讲讲段子，卖卖腐，胡打一通之后，也就不剩什么了，啊，还有必不可少的如鸡肋一般的彩蛋。角色已经越来越看不太懂了。洛基本部彻底沦为谐星。当然，女王还是帅的。
        "
大唐咕噜,看过,推荐,4,1371,2017-10-12 13:07:57," 我是雷神托尔，为了北方神的荣耀。。。。。
        "
同志亦凡人中文站,看过,推荐,4,1254,2017-10-25 17:42:57," 哥特风的大魔王酷毙了，而没了锤子的锤哥简直性感到核爆炸啊！啥也别说，正面压我！怀蒂蒂把个人逗逼风格成功融入漫威大法，恭喜好莱坞又招安一位类型片怪杰。马特呆蒙的客串太好笑了，足够我笑到圣诞啊哈哈哈...
                
                
"
yuehuanyu,看过,很差,1,797,2017-10-26 13:36:09," 我就不懂，本来主线剧情那么惨，为什么锤基还以搞笑的态度演绎这一切？这部电影的叙述方式和剧情本身产生了严重的风格分裂，居然那么多好评？？！！
        "
ATLAS77,看过,较差,2,511,2017-10-11 22:49:48," 我想知道诸神黄昏的原作粉看完这部是什么心情，诸神夕阳红吧？
                
                
"
咸鱼Diane,看过,还行,3,676,2017-10-26 00:29:07," “漫威最佳”就是个笑话，谁信谁傻。总体还是漫威的老套路，作为雷神系列的进步就体现在视觉效果上，完全星际特工+星际迷航+星球大战的结合体。加上继承了银护系列走逗比路线，全员尬梗。无功无过，切糕完全当作舞台剧来演了吧，心疼我老阿姨，一把为了赚奶粉钱还要演打戏惹。
        "
Duy,看过,很差,1,449,2017-10-17 17:32:42," 连""屁眼""都用上的电影，真是搞笑啊。你雷人造型连motal combat里raiden十分之一都不及。剧情？简直是在侮辱观众们的智商。
                
                
"
彩蛋君KL,看过,推荐,4,526,2017-10-27 18:37:10," 托尔：但没了锤子我什么都不是！ 
奥丁爸比：如果没了锤子你什么都不是，你就不配拥有它！
        "
这名想了大半宿,看过,较差,2,439,2017-10-27 05:06:42," 一漫改大作竟拍得如此小家子气，完全没想要严肃认真地讲故事，插科打诨都透露着随意，反正漫威这两年的尿性也就这样了。知道你们爱看老角色我就让他们使劲说骚话，新角色就瞎勾巴写，可怜大魔王又成了一个被白瞎的一流演员，给你配上点迷幻的电子乐，就跟金拱门的炸鸡一样，吃起来爽快，出门即忘。
        "
席德,看过,还行,3,412,2017-11-02 19:37:47," 【女主角终于被这对基佬兄弟气走了。】-锤：“如果你人在这里，我会拥抱你。”-基：“我在哦。”#之后抱了个爽#
        "
橘貓,看过,较差,2,404,2017-10-25 03:56:28," 每個角色在故事中的扁平程度都超乎想像，漫威看似用一個大型派對超出了自己的界限，但實際上只是把這個界限越裹越緊，它不斷在提供觀眾我們想看的東西，卻沒有任何挑戰。這已經不是服務觀眾的問題了。
        "
李阿斗,看过,力荐,5,469,2017-10-26 05:25:14," 看之前上个厕所，看到Hulk像个蚂蚁一样砸在彩虹桥上的时候我觉得自己笑尿了。嘴炮打的爽翻天，梗密集程度宽慰了吾等老粉，如果你还记得Hulk第一次见Loki对他做了什么的话。漫威宇宙俨然发展出了自己的风格，就是tm爽，满屏的男俊女帅，抖森让人合不拢腿，抖森让人合不拢腿，抖森让人合不拢腿，抖森让人
        "
王大根,看过,推荐,4,248,2017-11-03 22:15:02," 雷神这种超中二题材早就该做成喜剧了！！而且抓到雷神就算要拿去卖，也应该关到地下室里先爽一爽才对吧！！！
        "
月亮脚丫,看过,还行,3,353,2017-10-25 03:36:18," 感觉像是银河护卫队2.5
        "
哟大豪爷,看过,推荐,4,312,2017-11-04 01:11:35," 所以浩克的几把到底啥样，让雷神过目难忘
        "
Lovely袁少,看过,很差,1,332,2017-10-26 08:36:02," 居然把诸神黄昏拍成了搞笑风，导演啊你可长点心吧。
        "
